Method,Max Depth,Accuracy Rate,Error Rate
Entropy,1,69.8,30.200000000000003
Entropy,2,77.8,22.200000000000003
Entropy,3,81.9,18.099999999999994
Entropy,4,91.8,8.200000000000003
Entropy,5,97.3,2.700000000000003
Entropy,6,100.0,0.0
Majority Error,1,69.8,30.200000000000003
Majority Error,2,70.8,29.200000000000003
Majority Error,3,82.1,17.900000000000006
Majority Error,4,89.4,10.599999999999994
Majority Error,5,96.6,3.4000000000000057
Majority Error,6,100.0,0.0
Gini Index,1,69.8,30.200000000000003
Gini Index,2,77.8,22.200000000000003
Gini Index,3,82.4,17.599999999999994
Gini Index,4,91.1,8.900000000000006
Gini Index,5,97.3,2.700000000000003
Gini Index,6,100.0,0.0
